timestamp,username,ip_address,country,login_status,role,auth_method,user_agent,device_id,endpoint,failure_reason,mfa_result,account_lock,risk_score
01-01-2026 00:02,diana,45.33.12.19,India,FAILED,user,Password,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15",IOS-51167c3fd0-7190,/login,INVALID_PASSWORD,NOT_REQUIRED,NO,65
01-01-2026 00:04,diana,185.10.20.77,UAE,SUCCESS,user,Password,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",SRV-0fa80fc572-2250,/login,,NOT_REQUIRED,NO,41
01-01-2026 00:07,alice,10.0.0.193,Internal,SUCCESS,user,Password+OTP,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",WIN-5de018d9da-5285,/login,,PASSED,NO,21
01-01-2026 00:16,trent,192.168.1.188,Internal,SUCCESS,user,Password,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",AND-ab967bc7cf-8679,/login,,NOT_REQUIRED,NO,11
01-01-2026 00:20,charlie,45.33.12.206,India,SUCCESS,user,OTP,curl/8.4.0,LIN-4f51b60675-4962,/admin/login,,PASSED,NO,37
01-01-2026 00:20,eve,10.0.0.227,Internal,SUCCESS,user,Password,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15",SRV-a334898bc6-6337,/login,,NOT_REQUIRED,NO,20
01-01-2026 00:22,trent,10.0.0.176,Internal,SUCCESS,user,OTP,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",WIN-5920e96f7d-6904,/login,,PASSED,NO,11
01-01-2026 00:23,oscar,192.168.1.211,Internal,SUCCESS,user,OTP,"Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",SRV-2e4a5b0656-5328,/login,,PASSED,NO,12
01-01-2026 00:24,eve,45.33.12.207,India,SUCCESS,user,OTP,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",AND-a16e8fd71b-8050,/login,,PASSED,NO,28
01-01-2026 00:25,trent,10.0.0.233,Internal,SUCCESS,user,Password,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",IOS-5920e96f7d-9996,/admin/login,,NOT_REQUIRED,NO,15
